StandardName	StandardZnfContent	alleva.2021	berg.2010	berg.2011	borel.2012	hussin.2013	jeffreys.2013	ponting.2011
PR001	ZN001_ZN002_ZN003_ZN004_ZN004_ZN005_ZN003_ZN006_ZN007_ZN008_ZN006_ZN009_ZN010	A	A	A	A	NA	Jeffreys306	A
PR002	ZN001_ZN002_ZN003_ZN004_ZN004_ZN003_ZN003_ZN006_ZN007_ZN008_ZN006_ZN009_ZN010	B	B	B	B	NA	NA	B
PR003	ZN001_ZN002_ZN003_ZN004_ZN004_ZN003_ZN003_ZN006_ZN011_ZN008_ZN012_ZN008_ZN009_ZN010	C	C	C	C	NA	Jeffreys123	C
PR004	ZN001_ZN002_ZN003_ZN004_ZN004_ZN005_ZN003_ZN006_ZN011_ZN007_ZN008_ZN006_ZN009_ZN010	D	D	D	D	NA	Jeffreys394	D
PR005	ZN001_ZN002_ZN003_ZN004_ZN008_ZN006_ZN009_ZN010	E	E	E	E	NA	Jeffreys500	E
PR006	ZN001_ZN002_ZN003_ZN004_ZN007_ZN008_ZN006_ZN009_ZN010	L1	L1	L1	L1	NA	Jeffreys499	L1
PR007	ZN001_ZN003_ZN004_ZN004_ZN005_ZN003_ZN006_ZN007_ZN008_ZN006_ZN009_ZN010	L10	L10	L10	NA	NA	Jeffreys557	L10
PR008	ZN001_ZN002_ZN003_ZN004_ZN004_ZN005_ZN003_ZN006_ZN007_ZN008_ZN009_ZN010	L11	L11	L11	NA	NA	Jeffreys338	L11
PR009	ZN001_ZN002_ZN003_ZN004_ZN004_ZN003_ZN003_ZN003_ZN006_ZN007_ZN008_ZN006_ZN010	L12	L12	L12	NA	NA	Jeffreys040	L12
PR010	ZN001_ZN002_ZN003_ZN004_ZN004_ZN005_ZN003_ZN006_ZN007_ZN008_ZN017_ZN009_ZN010	L13	L13	L13	NA	NA	NA	L13
PR011	ZN001_ZN002_ZN003_ZN004_ZN004_ZN003_ZN003_ZN006_ZN011_ZN008_ZN012_ZN015_ZN009_ZN010	L14	L14	L14	NA	NA	Jeffreys165	L14
PR012	ZN001_ZN002_ZN003_ZN004_ZN004_ZN003_ZN003_ZN006_ZN011_ZN008_ZN012_ZN008_ZN009	L15	L15	L15	NA	NA	Jeffreys120	L15
PR013	ZN001_ZN002_ZN003_ZN004_ZN018_ZN003_ZN006_ZN011_ZN008_ZN012_ZN008_ZN009_ZN010	L16	L16	L16	NA	NA	Jeffreys512	L16
PR014	ZN001_ZN002_ZN003_ZN004_ZN004_ZN011_ZN003_ZN003_ZN006_ZN011_ZN008_ZN012_ZN008_ZN009_ZN010	L17	L17	L17	NA	NA	NA	L17
PR015	ZN001_ZN002_ZN004_ZN004_ZN019_ZN003_ZN006_ZN011_ZN008_ZN012_ZN015_ZN009_ZN010	L18	L18	L18	NA	NA	NA	L18
PR016	ZN001_ZN002_ZN003_ZN004_ZN004_ZN003_ZN003_ZN006_ZN011_ZN008_ZN012_ZN008_ZN017_ZN009_ZN010	L19	L19	L19	L19	NA	Jeffreys139	L19
PR017	ZN001_ZN002_ZN003_ZN004_ZN004_ZN003_ZN006_ZN007_ZN008_ZN006_ZN009_ZN010	L2	L2	L2	NA	NA	Jeffreys222	L2
PR018	ZN001_ZN002_ZN003_ZN004_ZN004_ZN005_ZN003_ZN006_ZN007_ZN011_ZN006_ZN017_ZN010	L20	L20	L20	NA	NA	Jeffreys353	L20
PR019	ZN001_ZN002_ZN003_ZN004_ZN004_ZN005_ZN005_ZN003_ZN006_ZN007_ZN008_ZN006_ZN009_ZN010	L21	L21	L21	NA	NA	Jeffreys454	L21
PR020	ZN001_ZN002_ZN003_ZN004_ZN004_ZN005_ZN003_ZN006_ZN007_ZN008_ZN008_ZN006_ZN009_ZN010	L22	L22	L22	NA	NA	Jeffreys334	L22
PR021	ZN001_ZN002_ZN003_ZN004_ZN004_ZN005_ZN003_ZN006_ZN006_ZN008_ZN006_ZN017_ZN010	L23	L23	L23	NA	NA	NA	L23
PR022	ZN001_ZN002_ZN003_ZN004_ZN004_ZN005_ZN003_ZN006_ZN020_ZN016_ZN006_ZN017_ZN010	L24	L24	L24	NA	NA	Jeffreys429	NA
PR023	ZN001_ZN002_ZN003_ZN004_ZN005_ZN003_ZN006_ZN007_ZN008_ZN006_ZN009_ZN010	L3	L3	L3	NA	NA	Jeffreys495	L3
PR024	ZN001_ZN002_ZN003_ZN004_ZN004_ZN003_ZN003_ZN003_ZN004_ZN004_ZN003_ZN006_ZN011_ZN008_ZN012_ZN008_ZN009_ZN010	L4	L4	L4	NA	NA	NA	L4
PR025	ZN001_ZN002_ZN003_ZN004_ZN004_ZN005_ZN003_ZN006_ZN009_ZN010	L5	L5	L5	NA	NA	Jeffreys370	L5
PR026	ZN001_ZN002_ZN003_ZN004_ZN004_ZN003_ZN003_ZN003_ZN006_ZN011_ZN008_ZN012_ZN015_ZN009_ZN010	L6	L6	L6	NA	NA	Jeffreys050	L6
PR027	ZN001_ZN002_ZN003_ZN004_ZN004_ZN003_ZN003_ZN006_ZN007_ZN008_ZN006_ZN010	L7	L7	L7	NA	NA	NA	L7
PR028	ZN001_ZN002_ZN003_ZN004_ZN004_ZN005_ZN003_ZN003_ZN006_ZN011_ZN008_ZN012_ZN008_ZN009_ZN010	L8	L8	L8	NA	NA	NA	L8
PR029	ZN001_ZN002_ZN003_ZN004_ZN004_ZN005_ZN003_ZN006_ZN007_ZN016_ZN006_ZN017_ZN010	L9	L9	L9	NA	NA	NA	L9
PR030	ZN001_ZN002_ZN003_ZN004_ZN004_ZN005_ZN003_ZN006_ZN021_ZN008_ZN006_ZN009_ZN010	M4	NA	L25	NA	NA	NA	NA
PR031	ZN001_ZN002_ZN003_ZN004_ZN004_ZN005_ZN003_ZN006_ZN007_ZN008_ZN006_ZN017_ZN010	M10	NA	L26	NA	L37	NA	NA
PR032	ZN001_ZN002_ZN003_ZN004_ZN004_ZN022_ZN003_ZN006_ZN007_ZN008_ZN006_ZN009_ZN010	L27	NA	L27	NA	NA	Jeffreys482	NA
PR033	ZN001_ZN002_ZN003_ZN004_ZN004_ZN005_ZN003_ZN003_ZN006_ZN013_ZN010	baudat_F	NA	NA	F	NA	NA	NA
PR034	ZN001_ZN002_ZN003_ZN003_ZN004_ZN003_ZN003_ZN006_ZN011_ZN008_ZN012_ZN008_ZN008_ZN008_ZN009_ZN010	NA	NA	NA	I	NA	NA	NA
PR035	ZN001_ZN002_ZN003_ZN004_ZN007_ZN008_ZN006_ZN009_ZN007_ZN008_ZN006_ZN009_ZN010	NA	NA	NA	L28	NA	NA	NA
PR036	ZN001_ZN002_ZN003_ZN004_ZN005_ZN003_ZN004_ZN003_ZN003_ZN006_ZN007_ZN008_ZN006_ZN009_ZN010	NA	NA	NA	L29	NA	NA	NA
PR037	ZN001_ZN002_ZN003_ZN004_ZN004_ZN008_ZN003_ZN006_ZN011_ZN008_ZN012_ZN008_ZN009_ZN010	NA	NA	NA	L30	NA	NA	NA
PR038	ZN001_ZN002_ZN005_ZN003_ZN006_ZN007_ZN008_ZN006_ZN009_ZN010	Av:0128	NA	NA	L31	NA	Jeffreys549	NA
PR039	ZN001_ZN002_ZN003_ZN004_ZN004_ZN004_ZN005_ZN003_ZN006_ZN007_ZN008_ZN006_ZN009_ZN010	Av:0024	NA	NA	NA	L33	Jeffreys245	NA
PR040	ZN001_ZN002_ZN003_ZN024_ZN004_ZN005_ZN003_ZN006_ZN007_ZN008_ZN006_ZN009_ZN010	M5	NA	NA	NA	L32	NA	NA
PR041	ZN001_ZN002_ZN003_ZN004_ZN004_ZN005_ZN003_ZN006_ZN007_ZN008_ZN006_ZN025_ZN010	NA	NA	NA	NA	L34	NA	NA
PR042	ZN001_ZN002_ZN003_ZN004_ZN004_ZN005_ZN003_ZN026_ZN007_ZN008_ZN006_ZN009_ZN010	NA	NA	NA	NA	L35	NA	NA
PR043	ZN001_ZN002_ZN018_ZN004_ZN004_ZN005_ZN003_ZN006_ZN007_ZN008_ZN006_ZN009_ZN010	NA	NA	NA	NA	L36	NA	NA
PR044	ZN001_ZN002_ZN003_ZN004_ZN004_ZN005_ZN003_ZN023_ZN007_ZN008_ZN006_ZN017_ZN010	NA	NA	NA	NA	L38	NA	NA
PR045	ZN001_ZN002_ZN003_ZN004_ZN014_ZN003_ZN006_ZN007_ZN007_ZN008_ZN006_ZN009_ZN010	baudat_H	NA	NA	NA	NA	NA	NA
PR046	ZN001_ZN002_ZN003_ZN004_ZN004_ZN003_ZN003_ZN006_ZN011_ZN008_ZN012_ZN008_ZN008_ZN008_ZN009_ZN010	baudat_I	NA	NA	NA	NA	NA	NA
PR047	ZN001_ZN002_ZN003_ZN027_ZN004_ZN003_ZN003_ZN006_ZN007_ZN008_ZN006_ZN009_ZN010	M1	NA	NA	NA	NA	NA	NA
PR048	ZN001_ZN002_ZN003_ZN004_ZN004_ZN005_ZN003_ZN006_ZN007_ZN011_ZN017_ZN010	M11	NA	NA	NA	NA	NA	NA
PR049	ZN001_ZN002_ZN003_ZN004_ZN004_ZN003_ZN003_ZN003_ZN004_ZN004_ZN003_ZN006_ZN011_ZN008_ZN012_zn041_ZN008_ZN009_ZN010	M12	NA	NA	NA	NA	NA	NA
PR050	ZN001_ZN002_zn002_ZN004_ZN004_ZN003_ZN003_ZN003_ZN006_ZN011_ZN008_ZN012_ZN015_ZN009_ZN010	M13	NA	NA	NA	NA	NA	NA
PR051	ZN001_ZN002_ZN003_ZN004_ZN004_ZN003_ZN003_ZN003_ZN006_ZN011_ZN008_ZN031_ZN008_ZN009_ZN010	M14	NA	NA	NA	NA	NA	NA
PR052	ZN001_ZN002_ZN003_ZN004_ZN004_zn002_ZN004_ZN004_zn002_zn002_ZN003_ZN006_ZN007_ZN008_ZN006_ZN009_ZN010	M15	NA	NA	NA	NA	NA	NA
PR053	ZN001_ZN002_ZN032_ZN004_ZN004_ZN005_ZN003_ZN006_ZN007_ZN008_ZN008_ZN006_ZN009_ZN010	M16	NA	NA	NA	NA	NA	NA
PR054	ZN001_ZN002_ZN003_ZN004_ZN004_ZN004_ZN003_ZN003_ZN006_ZN007_ZN008_ZN006_ZN010	M17	NA	NA	NA	NA	NA	NA
PR055	ZN001_ZN002_ZN003_ZN004_ZN004_ZN003_ZN003_ZN006_ZN011_ZN008_ZN012_zn007_ZN009_ZN010	M18	NA	NA	NA	NA	NA	NA
PR056	ZN001_ZN002_ZN003_ZN004_ZN004_ZN005_ZN003_ZN023_ZN007_ZN008_ZN006_ZN009_ZN010	M19	NA	NA	NA	NA	NA	NA
PR057	ZN001_ZN002_ZN003_ZN018_ZN004_ZN005_ZN003_ZN006_ZN007_ZN008_ZN006_ZN009_ZN010	M2	NA	NA	NA	NA	NA	NA
PR058	ZN001_ZN002_ZN003_ZN003_ZN003_ZN006_ZN007_ZN008_ZN006_ZN009_ZN010	M20	NA	NA	NA	NA	NA	NA
PR059	ZN001_ZN002_ZN003_ZN004_ZN004_ZN005_ZN003_ZN004_ZN005_ZN003_ZN006_ZN007_ZN008_ZN008_ZN006_ZN009_ZN010	M21	NA	NA	NA	NA	NA	NA
PR060	ZN001_ZN002_ZN003_ZN027_ZN033_ZN003_ZN003_ZN006_ZN007_ZN008_ZN006_ZN009_ZN010	M22	NA	NA	NA	NA	NA	NA
PR061	ZN001_ZN002_ZN003_ZN004_ZN004_ZN034_ZN003_ZN006_ZN007_ZN008_ZN006_ZN009_ZN010	M23	NA	NA	NA	NA	NA	NA
PR062	ZN001_ZN002_ZN003_ZN004_ZN004_ZN005_ZN003_ZN006_ZN007_ZN008_ZN006_ZN009_ZN035	M24	NA	NA	NA	NA	NA	NA
PR063	ZN001_ZN002_ZN003_ZN004_ZN004_ZN003_ZN003_ZN006_zn007_ZN008_ZN008_ZN009_ZN010	M25	NA	NA	NA	NA	NA	NA
PR064	ZN001_ZN002_ZN003_ZN036_ZN004_ZN005_ZN003_ZN006_ZN007_ZN008_ZN006_ZN009_ZN010	M26	NA	NA	NA	NA	NA	NA
PR065	ZN001_ZN002_ZN003_ZN004_ZN004_ZN005_ZN037_ZN006_ZN007_ZN008_ZN006_ZN009_ZN010	M27	NA	NA	NA	NA	NA	NA
PR066	ZN001_ZN002_ZN003_ZN004_ZN004_ZN005_ZN003_ZN006_ZN011_ZN008_ZN012_ZN015_ZN009_ZN010	M28	NA	NA	NA	NA	NA	NA
PR067	ZN001_ZN002_ZN003_ZN004_ZN004_ZN003_ZN003_ZN006_zn007_ZN008_ZN012_ZN008_ZN009_ZN010	M29	NA	NA	NA	NA	NA	NA
PR068	ZN001_ZN002_ZN003_ZN004_ZN005_ZN003_ZN006_ZN007_ZN008_zn004_ZN010	M3	NA	NA	NA	NA	NA	NA
PR069	ZN001_ZN038_ZN003_ZN004_ZN004_ZN005_ZN003_ZN006_ZN007_ZN011_ZN006_ZN017_ZN010	M30	NA	NA	NA	NA	NA	NA
PR070	ZN001_ZN002_ZN003_ZN004_ZN004_ZN003_ZN003_ZN006_ZN007_ZN008_ZN006_zn022_ZN009_ZN010	M31	NA	NA	NA	NA	NA	NA
PR071	ZN001_ZN002_ZN003_zn002_ZN004_ZN005_ZN003_ZN006_ZN007_ZN008_ZN006_ZN009_ZN010	M32	NA	NA	NA	NA	NA	NA
PR072	ZN001_ZN002_ZN003_ZN004_ZN004_ZN028_ZN003_ZN006_ZN007_ZN008_ZN006_ZN009_ZN010	M6	NA	NA	NA	NA	NA	NA
PR073	ZN001_ZN002_ZN003_ZN004_zn002_ZN003_ZN003_ZN006_ZN007_ZN008_ZN006_ZN009_ZN010	M7	NA	NA	NA	NA	NA	NA
PR074	ZN001_ZN002_ZN003_ZN004_ZN004_ZN003_ZN003_ZN006_ZN007_ZN029_ZN006_ZN009_ZN010	M8	NA	NA	NA	NA	NA	NA
PR075	ZN001_ZN002_ZN003_ZN004_ZN004_ZN005_ZN003_ZN006_ZN007_ZN008_ZN006_ZN030_ZN010	M9	NA	NA	NA	NA	NA	NA
pr001	zn027_ZN011_ZN008_ZN012_ZN008_ZN009_ZN010	Cv:0189	NA	NA	NA	NA	Jeffreys001	NA
pr002	ZN001_ZN002_ZN002_ZN003_ZN004_ZN004_ZN003_ZN003_ZN006_ZN011_ZN008_ZN012_ZN008_ZN009_ZN010	Cv:0391	NA	NA	NA	NA	Jeffreys002	NA
pr003	ZN001_ZN002_ZN003_ZN003_ZN002_ZN003_ZN004_ZN004_ZN022_ZN003_ZN006_ZN007_ZN008_ZN006_ZN009_ZN010	L27v:0078	NA	NA	NA	NA	Jeffreys003	NA
pr004	ZN001_ZN002_ZN003_ZN003_ZN003_ZN003_ZN004_ZN004_ZN003_ZN003_ZN006_ZN011_ZN008_ZN012_ZN015_ZN009_ZN010	L14v:0339	NA	NA	NA	NA	Jeffreys004	NA
pr005	ZN001_ZN002_ZN003_ZN003_ZN003_ZN003_ZN004_ZN004_ZN005_ZN003_ZN006_ZN007_ZN008_ZN006_ZN009_ZN010	Av:0358	NA	NA	NA	NA	Jeffreys005	NA
pr006	ZN001_ZN002_ZN003_ZN003_ZN003_ZN006_ZN011_ZN008_ZN012_ZN008_ZN009	L15v:0139	NA	NA	NA	NA	Jeffreys006	NA
pr007	ZN001_ZN002_ZN003_ZN003_ZN003_zn002_ZN004_ZN003_ZN003_ZN006_ZN011_ZN008_ZN012_ZN015_ZN009_ZN010	L14v:0290	NA	NA	NA	NA	Jeffreys007	NA
pr008	ZN001_ZN002_ZN003_ZN003_ZN004_ZN004_ZN003_ZN003_ZN006_ZN011_ZN008_ZN012_ZN008_ZN009_ZN010	Cv:0190	NA	NA	NA	NA	Jeffreys008	NA
pr009	ZN001_ZN002_ZN003_ZN003_ZN004_ZN004_ZN005_ZN003_ZN006_ZN007_ZN008_ZN006_ZN009_ZN010	Av:0022	NA	NA	NA	NA	Jeffreys009	NA
pr010	ZN001_ZN002_ZN003_ZN003_ZN004_ZN004_ZN005_ZN003_ZN006_ZN011_ZN007_ZN008_ZN006_ZN009_ZN010	Dv:0508	NA	NA	NA	NA	Jeffreys010	NA
pr011	ZN001_ZN002_ZN003_ZN003_ZN004_ZN004_ZN005_zn012_ZN003_ZN004_ZN004_ZN005_ZN003_ZN006_ZN007_ZN008_ZN006_ZN009_ZN010	Av:0092	NA	NA	NA	NA	Jeffreys011	NA
pr012	ZN001_ZN002_ZN003_ZN003_ZN006_ZN007_ZN008_ZN006_ZN009_ZN010	Av:0003	NA	NA	NA	NA	Jeffreys012	NA
pr013	ZN001_ZN002_ZN003_ZN003_ZN006_ZN011_ZN008_ZN012_ZN008_ZN009	L15v:0132	NA	NA	NA	NA	Jeffreys013	NA
pr014	ZN001_ZN002_ZN003_ZN003_ZN006_ZN011_ZN008_ZN012_ZN008_ZN009_ZN010	Cv:0203	NA	NA	NA	NA	Jeffreys014	NA
pr015	ZN001_ZN002_ZN003_ZN004_zn030_ZN006_ZN007_ZN008_ZN006_ZN009_ZN010	Rv:0490	NA	NA	NA	NA	Jeffreys015	NA
pr016	ZN001_ZN002_ZN003_ZN004_ZN003_ZN003_ZN003_ZN004_ZN004_ZN003_ZN003_ZN006_ZN011_ZN008_ZN012_ZN015_ZN009_ZN010	L14v:0354	NA	NA	NA	NA	Jeffreys016	NA
pr017	ZN001_ZN002_ZN003_ZN004_ZN003_ZN003_ZN004_ZN003_zn002_ZN004_ZN005_ZN003_ZN006_ZN007_ZN008_ZN006_ZN009_ZN010	Av:0117	NA	NA	NA	NA	Jeffreys017	NA
pr018	ZN001_ZN002_ZN003_ZN004_ZN003_ZN003_ZN006_ZN011_ZN008_ZN012_ZN008_ZN009	L15v:0157	NA	NA	NA	NA	Jeffreys018	NA
pr019	ZN001_ZN002_ZN003_ZN004_ZN003_ZN003_ZN006_ZN011_ZN008_ZN012_ZN008_ZN009_ZN010	Cv:0212	NA	NA	NA	NA	Jeffreys019	NA
pr020	ZN001_ZN002_ZN003_ZN004_ZN003_ZN003_ZN006_ZN011_ZN008_ZN012_ZN015_ZN009_ZN010	L14v:0302	NA	NA	NA	NA	Jeffreys020	NA
pr021	ZN001_ZN002_ZN003_ZN004_ZN003_ZN004_ZN004_ZN003_ZN003_ZN003_ZN006_ZN007_ZN008_ZN006_ZN010	L12v:0085	NA	NA	NA	NA	Jeffreys021	NA
pr022	ZN001_ZN002_ZN003_ZN004_ZN003_ZN004_ZN004_ZN003_ZN003_ZN006_ZN011_ZN008_ZN012_ZN008_ZN009_ZN010	Cv:0213	NA	NA	NA	NA	Jeffreys022	NA
pr023	ZN001_ZN002_ZN003_ZN004_ZN003_ZN004_ZN004_ZN005_ZN003_ZN004_ZN003_ZN004_ZN004_ZN005_ZN003_ZN006_ZN007_ZN008_ZN006_ZN009_ZN010	Av:0463	NA	NA	NA	NA	Jeffreys023	NA
pr024	ZN001_ZN002_ZN003_ZN004_ZN003_ZN004_ZN004_ZN005_ZN003_ZN006_ZN007_ZN008_ZN006_ZN009_ZN010	Av:0101	NA	NA	NA	NA	Jeffreys024	NA
pr025	ZN001_ZN002_ZN003_ZN004_ZN003_ZN004_ZN018_ZN003_ZN006_ZN011_ZN008_ZN012_ZN008_ZN009_ZN010	L16v:0379	NA	NA	NA	NA	Jeffreys025	NA
pr026	ZN001_ZN002_ZN003_ZN004_ZN004_ZN002_zn002_zn029_ZN002_zn002_ZN004_ZN003_ZN003_ZN006_ZN011_ZN008_ZN012_ZN008_ZN009_ZN010	Cv:0239	NA	NA	NA	NA	Jeffreys026	NA
pr027	ZN001_ZN002_ZN003_ZN004_ZN004_ZN003_zn032_ZN009_ZN010	L14v:0275	NA	NA	NA	NA	Jeffreys027	NA
pr028	ZN001_ZN002_ZN003_ZN004_ZN004_ZN003_ZN003_ZN003_ZN003_ZN003_ZN003_ZN006_ZN007_ZN008_ZN006_ZN010	L12v:0099	NA	NA	NA	NA	Jeffreys028	NA
pr029	ZN001_ZN002_ZN003_ZN004_ZN004_ZN003_ZN003_ZN003_ZN003_ZN004_ZN014_ZN003_ZN006_ZN007_ZN008_ZN006_ZN009_ZN010	Rv:0090	NA	NA	NA	NA	Jeffreys029	NA
pr030	ZN001_ZN002_ZN003_ZN004_ZN004_ZN003_ZN003_ZN003_ZN004_ZN004_ZN003_ZN004_ZN004_ZN003_ZN003_ZN006_ZN011_ZN008_ZN012_ZN008_ZN009_ZN010	Cv:0415	NA	NA	NA	NA	Jeffreys030	NA
pr031	ZN001_ZN002_ZN003_ZN004_ZN004_ZN003_ZN003_ZN003_ZN005_ZN003_ZN006_ZN007_ZN008_ZN006_ZN009_ZN010	Av:0242	NA	NA	NA	NA	Jeffreys031	NA
pr032	ZN001_ZN002_ZN003_ZN004_ZN004_ZN003_ZN003_ZN003_ZN006_ZN006_ZN011_ZN008_ZN012_ZN015_ZN009_ZN010	L14v:0363	NA	NA	NA	NA	Jeffreys032	NA
pr033	ZN001_ZN002_ZN003_ZN004_ZN004_ZN003_ZN003_ZN003_ZN006_ZN007_ZN003_ZN005_ZN003_ZN006_ZN007_ZN008_ZN006_ZN009_ZN010	Av:0357	NA	NA	NA	NA	Jeffreys033	NA
pr034	ZN001_ZN002_ZN003_ZN004_ZN004_ZN003_ZN003_ZN003_ZN006_ZN007_ZN006_ZN006_ZN007_ZN006_ZN006_ZN007_ZN008_ZN006_ZN010	L12v:0096	NA	NA	NA	NA	Jeffreys034	NA
pr035	ZN001_ZN002_ZN003_ZN004_ZN004_ZN003_ZN003_ZN003_ZN006_ZN007_ZN007_zn011_ZN008_ZN006_ZN010	L12v:0087	NA	NA	NA	NA	Jeffreys035	NA
pr036	ZN001_ZN002_ZN003_ZN004_ZN004_ZN003_ZN003_ZN003_ZN006_ZN007_ZN008_ZN006_ZN006_ZN007_ZN008_ZN006_ZN008_zn004_ZN010	L12v:0271	NA	NA	NA	NA	Jeffreys036	NA
pr037	ZN001_ZN002_ZN003_ZN004_ZN004_ZN003_ZN003_ZN003_ZN006_ZN007_ZN008_ZN006_ZN006_ZN007_ZN008_ZN006_ZN010	L12v:0086	NA	NA	NA	NA	Jeffreys037	NA
pr038	ZN001_ZN002_ZN003_ZN004_ZN004_ZN003_ZN003_ZN003_ZN006_ZN007_ZN008_ZN006_ZN007_ZN008_ZN006_ZN010	L12v:0263	NA	NA	NA	NA	Jeffreys038	NA
pr039	ZN001_ZN002_ZN003_ZN004_ZN004_ZN003_ZN003_ZN003_ZN006_ZN007_ZN008_ZN006_ZN009_ZN010	Rv:0150	NA	NA	NA	NA	Jeffreys039	NA
pr040	ZN001_ZN002_ZN003_ZN004_ZN004_ZN003_ZN003_ZN003_ZN006_ZN007_ZN008_ZN006_ZN011_ZN008_ZN008_ZN017_ZN010	Rv:0266	NA	NA	NA	NA	Jeffreys041	NA
